from,to,x,y,z,qx,qy,qz,qw,translation_sigma,rotation_sigma,loop
116,117,-0.03573908842971818,0.097573431430266311,-0.014418835803684971,-0.094964885746226649,0.012262979439223335,0.14733630515678353,0.98444060409616718,0.042622708498479878,0.022065389058165321,0
117,118,0.66793638732621474,0.04799252218669281,0.39052599926626019,-0.002861050246392141,0.00015093951824432948,0.020098118617811581,0.99979390738130325,0.059380287275398333,0.015812107772382587,0
118,119,0.66549707871284269,-0.0019693950840249386,0.3710565206323917,-0.0032325054320630447,-0.0040782170580316102,0.017728138815474481,0.99982930150521121,0.05904883824863312,0.015739087764941016,0
119,120,0.66933829288660895,-0.030768715091991083,0.37276759546701843,0.0045703120320854888,-0.0014946641177289988,-0.015409080304151323,0.9998697107479978,0.059168922511174088,0.015645704777904893,0
120,121,0.67912500112609919,0.0040535121688343168,0.36814276681909597,-0.011079967046503048,0.0035318889545957639,0.0076027863361231357,0.99990347420667958,0.059312500726159317,0.015555776490994105,0
121,122,0.65983029718902131,-0.027928198684470829,0.3558419060976048,-0.002104985320519775,0.014535816870672796,-0.001492897090638472,0.99989101922308476,0.058754657213367832,0.015590546205314299,0
122,123,0.65970201818194596,-0.1473609040291457,0.38405879542013999,0.023322276317261921,-0.0048812223471833786,-0.035484216104584083,0.99908614018172726,0.059436163895705933,0.01671020377000081,0
123,124,0.66311359529127856,0.05753822895064431,0.36946666603051348,-0.010731426405433531,0.00021678249223370963,0.020204457884575956,0.99973825043070452,0.059031813913789942,0.015915224106148734,0
124,125,0.40463813268619475,-0.094343534613866353,0.25102885381798679,0.067022966911383666,-0.0067440935569926305,-0.116750818332732,0.99087420267515669,0.052135902479739107,0.020408056577042602,0
125,126,0.19327419680794478,-0.08717472393904302,0.10041125714100119,0.079445112123021092,0.0094149668444777866,-0.1312099440597381,0.98812134029122078,0.045864979124336291,0.021171483213854984,0
126,127,0.66030033487257001,-0.04391323397979896,0.38644376242926981,0.010993992969374772,-0.010958189074215037,-0.013945962293129536,0.99978225646713792,0.05915828289983021,0.015834748221416891,0
127,128,0.67518091112744472,-0.12531837776890242,0.39570290920307372,0.042071820326091094,0.0061249703545281746,-0.080396521198449825,0.9958558359781764,0.05981405358119099,0.018642868996160179,0
